Zone,Company Type,Min Salary,Max Salary,Avg Salary,Experience,In School,Degree,Type
上海市,1,8000,15000,11500,1,0,2,数据分析师
广州市,1,10000,20000,15000,2,0,2,数据分析师
深圳市,1,10000,15000,12500,0,0,2,数据分析师
广州市,1,9000,13000,11000,2,0,2,数据分析师
武汉市,1,8000,15000,11500,2,0,2,数据分析师
北京市,1,8000,20000,14000,2,0,2,数据分析师
深圳市,1,10000,15000,12500,2,0,2,数据分析师
上海市,1,12000,15000,13500,2,0,2,数据分析师
深圳市,1,15000,20000,17500,2,0,2,数据分析师
上海市,1,10000,15000,12500,1,0,1,数据分析师
武汉市,1,4500,6000,5250,2,0,2,数据分析师
广州市,1,8000,15000,11500,1,0,2,数据分析师
深圳市,1,15000,30000,22500,2,0,2,数据分析师
上海市,1,18000,25000,21500,1,0,2,高级分析师
武汉市,1,6000,12000,9000,2,0,2,数据分析师
广州市,1,8000,16000,12000,0,0,1,数据分析师
北京市,1,9000,18000,13500,2,0,3,数据分析师
武汉市,1,6000,8000,7000,1,0,2,数据分析师
合肥市,1,10000,15000,12500,1,0,2,数据分析师
北京市,0,8000,10000,9000,1,0,2,数据分析师
武汉市,1,8000,10000,9000,1,0,2,数据分析师
上海市,1,10000,15000,12500,1,0,2,数据分析师
深圳市,0,7000,10000,8500,1,0,1,数据分析师
广州市,1,4000,8000,6000,1,0,1,数据分析师
武汉市,0,8000,10000,9000,2,0,2,高级分析师
深圳市,1,7000,8000,7500,0,0,2,数据分析师
上海市,0,9000,13000,11000,2,0,2,数据分析师
广州市,1,7000,12000,9500,1,0,2,数据分析师
上海市,0,12000,20000,16000,2,0,1,数据分析师
深圳市,1,4500,6000,5250,1,0,1,数据分析师
武汉市,1,6000,10000,8000,1,0,2,数据分析师
广州市,1,8000,12000,10000,1,0,2,数据分析师
上海市,1,10000,15000,12500,1,0,2,数据分析师
深圳市,1,10000,20000,15000,3,0,2,数据分析师
武汉市,1,6000,8000,7000,1,0,1,数据分析师
广州市,1,10000,15000,12500,3,0,2,数据分析师
武汉市,1,8000,10000,9000,2,0,1,数据分析师
上海市,1,6000,9000,7500,1,0,2,数据分析师
深圳市,1,15000,30000,22500,2,0,3,数据分析师
广州市,1,16666,25000,20833,2,0,2,高级分析师
上海市,1,7000,12000,9500,1,0,2,数据分析师
深圳市,0,15000,25000,20000,3,0,2,数据分析师
武汉市,1,3000,5000,4000,0,0,1,数据分析师
广州市,1,8000,16000,12000,1,0,2,数据分析师
武汉市,0,8000,10000,9000,2,0,1,数据分析师
深圳市,1,15000,20000,17500,1,0,1,数据分析师
上海市,1,10000,15000,12500,1,0,1,数据分析师
广州市,1,10000,18000,14000,3,0,2,高级分析师
武汉市,1,20000,25000,22500,2,0,1,数据分析师
