url,title,area,salary,company_type,requirements,company_name
https://msearch.51job.com/jobs/kunming/131156882.html?jobtype=0_0&rc=03,数据分析师,昆明,6-8千/月,国企,本科 | 1年,中科三清科技有限公司
https://msearch.51job.com/jobs/kunming/129027875.html?jobtype=0_0&rc=03,数据分析师,昆明-官渡区,4.5-6千/月,民营公司,大专 | 1年,播恋女装
https://msearch.51job.com/jobs/kunming/130652165.html?jobtype=0_0&rc=03,数据分析师（港鑫实业）,昆明-盘龙区,4.5-6千/月,国企,本科 | 1年,云南港鑫实业有限公司
https://msearch.51job.com/jobs/kunming/130935249.html?jobtype=0_0&rc=03,数据分析师,昆明-西山区,4.5-6千/月,民营公司,大专 | 2年,云南珞奇文化传播有限公司
https://msearch.51job.com/jobs/kunming/130043347.html?jobtype=0_0&rc=03,数据分析师/主管T,昆明,4.5-6千/月,上市公司,本科 | 2年,昆明贝壳房地产经纪有限公司
https://msearch.51job.com/jobs/kunming/125832345.html?jobtype=0_0&rc=03,数据分析员,昆明-官渡区,4.5-8千/月,民营公司,大专 | 3-4年,昆明伊纳服饰有限公司
https://msearch.51job.com/jobs/kunming/133682555.html?jobtype=0_0&rc=03,数据挖掘工程师,昆明,1.5-2万/月,民营公司,本科 | 2年,上海井胜通讯技术有限公司
https://msearch.51job.com/jobs/kunming/128899739.html?jobtype=0_0&rc=03,数据分析专员,昆明-官渡区,6-8千/月,民营公司,大专 | 1年,昆明木木夕木目心商务有限公司
https://msearch.51job.com/jobs/kunming/122017512.html?jobtype=0_0&rc=03,营运数据专员,昆明-官渡区,4-6千/月,民营公司,大专 | 1年,富康城商业管理（昆明）有限公司
https://msearch.51job.com/jobs/kunming/128592007.html?jobtype=0_0&rc=03,数据分析员,昆明,5-8千/月,民营公司,大专 | 3-4年,昆明丽都医疗美容医院有限公司
https://msearch.51job.com/jobs/kunming/124440243.html?jobtype=0_0&rc=03,商品专员,昆明-西山区,4.5-7千/月,民营公司,高中 | 2年,昆明劲王鞋业
https://msearch.51job.com/jobs/kunming/121905769.html?jobtype=0_0&rc=03,数据分析专员,昆明-盘龙区,4.5-6千/月,外资（欧美）,本科 | 1年,MAX TECH
https://msearch.51job.com/jobs/kunming/82865479.html?jobtype=0_0&rc=03,急聘商品专员/数据分析员（4000-7000）,昆明,4-7千/月,民营公司,中专 | 1年,云南起尚服饰有限公司
https://msearch.51job.com/jobs/kunming/130566596.html?jobtype=0_0&rc=03,昆明爱维艾夫医院——数据分析员,昆明-官渡区,6-8千/月,民营公司,大专 | 无需经验,深圳爱维艾夫医院管理有限公司
https://msearch.51job.com/jobs/kunming/133558377.html?jobtype=0_0&rc=03,数据分析专员,昆明-盘龙区,5-5.5千/月,民营公司,本科 | 1年,巨量引擎云南代理
https://msearch.51job.com/jobs/kunming/61416388.html?jobtype=0_0&rc=03,数据分析专员,昆明,6-8千/月,民营公司,本科 | 1年,云南创网科技有限公司
https://msearch.51job.com/jobs/kunming/126312118.html?jobtype=0_0&rc=03,中级数据应用工程师,昆明,0.8-1.4万/月,上市公司,本科 | 3-4年,东华软件股份公司
